State,Plains,Southwest,Southeast,Great Lakes,Mideast,New England,Far West,Rocky Mountain
1,North Dakota,Texas,Oklahoma,Wisconsin,DC,Maine,California,Montana
2,South Dakota,New Mexico,Arkansas,Michigan,New Jersey,New Hampshire,Oregon,Idaho
3,Nebraska,Arizona,Kentucky,Illinois,Pennsylvania,Vermont,Washington,Colorado
4,Kansas,Oklahoma,Tennessee,Indiana,New York,Massachusetts,Alaska,Wyoming
5,Missouri,,Louisiana,Ohio,Maryland,Connecticut,Hawaii,Utah
6,Iowa,,Mississippi,,Delaware,Rhode Island,,
7,Minnesota,,Alabama,,,,,
8,,,Georgia,,,,,
9,,,Florida,,,,,
10,,,South Carolina,,,,,
11,,,North Carolina,,,,,
12,,,West Virginia,,,,,
13,,,Virginia,,,,,