Joined,State,1788,1792,1796-1800,1804-1808,1812,1816,1820,1824-1828,1832,1836-1840,1844,1848,1852-1856,1860,1864,1868,1872,1876-1880,1884-1888,1892,1896-1900,1904,1908,1912-1928,1932-1940,1944-1948,1952-1956,1960,1964-1968,1972-1980,1984-1988,1992-2000,2004-2008,2012-2020
22,Alabama,,,,,,,3,5,7,7,9,9,9,9,0,8,10,10,10,11,11,11,11,12,11,11,11,11,10,9,9,9,9,9
49,Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3
48,Arizona,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,4,4,5,6,7,8,10,11
25,Arkansas,,,,,,,,,,3,3,3,4,4,0,5,6,6,7,8,8,9,9,9,9,9,8,8,6,6,6,6,6,6
31,California,,,,,,,,,,,,,4,4,5,5,6,6,8,9,9,10,10,13,22,25,32,32,40,45,47,54,55,55
38,Colorado,,,,,,,,,,,,,,,,,,3,3,4,4,5,5,6,6,6,6,6,6,7,8,8,9,9
5,Connecticut,7,9,9,9,9,9,9,8,8,8,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,8,8,8,8,8,8,8,7,7
,D.C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3
1,Delaware,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
27,Florida,,,,,,,,,,,,3,3,3,0,3,4,4,4,4,4,5,5,6,7,8,10,10,14,17,21,25,27,29
4,Georgia,5,4,4,6,8,8,8,9,11,11,10,10,10,10,0,9,11,11,12,13,13,13,13,14,12,12,12,12,12,12,12,13,15,16
50,Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,4,4,4,4
43,Idaho,,,,,,,,,,,,,,,,,,,,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4
21,Illinois,,,,,,,3,3,5,5,9,9,11,11,16,16,21,21,22,24,24,27,27,29,29,28,27,27,26,26,24,22,21,20
19,Indiana,,,,,,3,3,5,9,9,12,12,13,13,13,13,15,15,15,15,15,15,15,15,14,13,13,13,13,13,12,12,11,11
29,Iowa,,,,,,,,,,,,4,4,4,8,8,11,11,13,13,13,13,13,13,11,10,10,10,9,8,8,7,7,6
34,Kansas,,,,,,,,,,,,,,,3,3,5,5,9,10,10,10,10,10,9,8,8,8,7,7,7,6,6,6
15,Kentucky,,4,4,8,12,12,12,14,15,15,12,12,12,12,11,11,12,12,13,13,13,13,13,13,11,11,10,10,9,9,9,8,8,8
18,Louisiana,,,,,3,3,3,5,5,5,6,6,6,6,0,7,8,8,8,8,8,9,9,10,10,10,10,10,10,10,10,9,9,8
23,Maine,,,,,,,9,9,10,10,9,9,8,8,7,7,7,7,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4
7,Maryland,8,10,10,11,11,11,11,11,10,10,8,8,8,8,7,7,8,8,8,8,8,8,8,8,8,8,9,9,10,10,10,10,10,10
6,Massachusetts,10,16,16,19,22,22,15,15,14,14,12,12,13,13,12,12,13,13,14,15,15,16,16,18,17,16,16,16,14,14,13,12,12,11
26,Michigan,,,,,,,,,,3,5,5,6,6,8,8,11,11,13,14,14,14,14,15,19,19,20,20,21,21,20,18,17,16
32,Minnesota,,,,,,,,,,,,,,4,4,4,5,5,7,9,9,11,11,12,11,11,11,11,10,10,10,10,10,10
20,Mississippi,,,,,,,3,3,4,4,6,6,7,7,0,0,8,8,9,9,9,10,10,10,9,9,8,8,7,7,7,7,6,6
24,Missouri,,,,,,,3,3,4,4,7,7,9,9,11,11,15,15,16,17,17,18,18,18,15,15,13,13,12,12,11,11,11,10
41,Montana,,,,,,,,,,,,,,,,,,,,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3
37,Nebraska,,,,,,,,,,,,,,,,3,3,3,5,8,8,8,8,8,7,6,6,6,5,5,5,5,5,5
36,Nevada,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,6
9,New Hampshire,5,6,6,7,8,8,8,8,7,7,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,New Jersey,6,7,7,8,8,8,8,8,8,8,7,7,7,7,7,7,9,9,9,10,10,12,12,14,16,16,16,16,17,17,16,15,15,14
47,New Mexico,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,4,4,4,4,5,5,5,5
11,New York,8,12,12,19,29,29,29,36,42,42,36,36,35,35,33,33,35,35,36,36,36,39,39,45,47,47,45,45,43,41,36,33,31,29
12,North Carolina,,12,12,14,15,15,15,15,15,15,11,11,10,10,0,9,10,10,11,11,11,12,12,12,13,14,14,14,13,13,13,14,15,15
39,North Dakota,,,,,,,,,,,,,,,,,,,,3,3,4,4,5,4,4,4,4,4,3,3,3,3,3
17,Ohio,,,,3,8,8,8,16,21,21,23,23,23,23,21,21,22,22,23,23,23,23,23,24,26,25,25,25,26,25,23,21,20,18
46,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,7,10,11,10,8,8,8,8,8,8,7,7
33,Oregon,,,,,,,,,,,,,,3,3,3,3,3,3,4,4,4,4,5,5,6,6,6,6,6,7,7,7,7
2,Pennsylvania,10,15,15,20,25,25,25,28,30,30,26,26,27,27,26,26,29,29,30,32,32,34,34,38,36,35,32,32,29,27,25,23,21,20
13,Rhode Island,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4
8,South Carolina,7,8,8,10,11,11,11,11,11,11,9,9,8,8,0,6,7,7,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,9
40,South Dakota,,,,,,,,,,,,,,,,,,,,4,4,4,4,5,4,4,4,4,4,4,3,3,3,3
16,Tennessee,,,3,5,8,8,8,11,15,15,13,13,12,12,0,10,12,12,12,12,12,12,12,12,11,12,11,11,11,10,11,11,11,11
28,Texas,,,,,,,,,,,,4,4,4,0,0,8,8,13,15,15,18,18,20,23,23,24,24,25,26,29,32,34,38
45,Utah,,,,,,,,,,,,,,,,,,,,,3,3,3,4,4,4,4,4,4,4,5,5,5,6
14,Vermont,,4,4,6,8,8,8,7,7,7,6,6,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3
10,Virginia,12,21,21,24,25,25,25,24,23,23,17,17,15,15,0,0,11,11,12,12,12,12,12,12,11,11,12,12,12,12,12,13,13,13
42,Washington,,,,,,,,,,,,,,,,,,,,4,4,5,5,7,8,8,9,9,9,9,10,11,11,12
35,West Virginia,,,,,,,,,,,,,,,5,5,5,5,6,6,6,7,7,8,8,8,8,8,7,6,6,5,5,5
30,Wisconsin,,,,,,,,,,,,4,5,5,8,8,10,10,11,12,12,13,13,13,12,12,12,12,12,11,11,11,10,10
44,Wyoming,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3