Sriracha,Buffalo,Steak
Raspberry,Sirloin Steak,Coffee
Raspberry,Soy sauce,Milk chocolate
Bacon,Strawberries,blueberries
Chocolate,Coffee,Peanut Butter
,,
Balsamic Vinegar,Avacado,Burnt Cheese
Dark Chocolate,Coca-Cola,Milk Chocolate
iron ,gingersnaps,sea water 
Garlic,Aged Cheddar,Caramel
Garlic,sriracha,soy sauce
honey,proscuitto,vinegar
Vanilla,Butter,Onion
mint,chocolate,"green tea but only when it's a flavor, not the actual green tea"
marinara,beef,pumpkin
butter,salt,flour
blackberry,chocolate,bacon
Chocolate,Root beer,Toffee
Coffee,Chocolate,Marijuana
Mushroom,Shallot,Tarragon
Rasberry,Curry ,Ginger
chocolate,peanut butter,
Vanilla,scallop,chocolate 
coffee,red meat,cheescake
Vanilla,Chocolate Chunk,Double Fudge
Cheese,Caramel,Coffee
Onion,Peanut Butter,Lemon
Coffee,Peanut Butter,Chocolate
Water,Smoke,Chocolate
Lemonade,Peanut Butter,Cola
Sweet,Apple ,Caramel
parmesan,artichoke,xhickrn
Peppermint,Coffee,Strawberry
Curry,squash,cayenne pepper
Banana,JalapeÃ±o,Vanilla
Raspberry,Chocolate,Gary Coleman
milk caramel ,milk chocolate ,Dom
Sugar,Fat,Salt
Wintergreen,purple,orange
Mango,popcorn,strawberry
Dark Chocolate,Salt,Seared edge of steak
vanilla,raspberry,grapefruit
Salt-y,Lime,coffee
Orange,Tangy,Sweet
raspberry,curry,shrimp
Mango,Malt,Mustard
Chai,Meyer Lemon,Bacon
Blueberry,Watermelon,Wintergreen
Chai,Tuna,Teriyaki
Steak,Chocolate,Butter
Vanilla,Hot Sauce,Chocolate
chocolate,coconut,pomegranate
,,
Caramel,Bacon,Buffalo Wings
garlic ,chocolate ,blood orange 
Pork,spicy,fishy
chocolate,wood,salty
White chocolate,strawberry,chocolate
Coffee,Vanilla,Almond
Watermelon,Strawberry,BBQ
Chocolate,Deep fried batter,Burnt meat
sorgum,lemongrass,chicory
Pepsi,BBQ,Watermelon
Cajun,Hickory,Smoky 
sour,lemon,curry
,,
chocolate,strawberry,minister
Blue Cheese,Celery,Cherry
,,
chocolate,peanut butter,maple
Curry,Coffee,Dark Chocolate
vanilla,cinnamon,lemon
Blue Cheese,Green Olives,Bacon
Butter,Dough,Cream
Lime,Mushroom,Caramel 
lavender ,sarsparilla,wasabi
roast beef,lemon,honey
Chocolate,Vanilla,Banana
Beef Jerky,Coffee,Peanuts
Chocolate,Dragon fruit,Blue Raspberry
Coffee,Chocolate,Strawberry
,,
Marionberry,Coffee,Grape
,,
,,
,,
Apple,Watermelon,Chocolate
Caramel,Pumpkin,Dark chocolate
Caramel,Pumpkin,Dark chocolate
Cherry,Cookie Dough,Orange
,,
,,
,,
coffee,green tea,dark chocolate 
Carmel,rootbeer,Chocloate
Coffee,Chocolate,Vanilla
White Chocolate,Raspberry,Passion Fruit
Chocolate  ,Cheery ,BlackBerry 
,,
,,
,,
pistachio,hay,peach
,,
Caramel,Strawberry,Pineapple
Mint ,Chocolate,Vanilla
Peanut Butter,Chocolate,Cheesecake
Jamoca Almond Fudge,Chocolate,Cheesecake
,,
Peanut Butter with honey ,Bacon,Honeydew 
Green Tea,Pumpkin ,Humans have 2 arms.
Dissonance,Pestilence,Mango
Boston Cream,Lemon Poppyseed,Cake Batter
Fried Chicken,Potato,BBQ Sauce
Milkshake,Vodka Cream Sauce,Cheese
chocolate,steak,alfredo
strawberry,cheesy,creamy
caramel,lime,strawberry
Cake Batter,Cookie Dough,Pralines and Cream
Jalapeno,Bacon,Chocolate
Chocolate,Lemon,Orange
Mint,Spicy (Hispanic variety),grilled meat
coffee,maple,green chile
Salty,Musky,Pudding
,,
Cinnamon,Vanilla,Chocolate
Rootbeer,Victory,Cheese
Justice,Retribution,Spaghetti
Salty,Sweet,
Banana,chocolate,vanilla ice cream
Peanut Butter,Ginger,Hops (Beer)
Spicy,Vinegar,Lime
chocolate,peanut butter,coffee
"salty, oceany",sour like pickles and lemons,spicey
Cinnamon,Sharp Cheddar Cheese,Chocolate
pussy,IPA,steak
kiwi,strawberry,
Vanilla,Lemon,Cherry
strawberry lube,out of ideas,
Cock,Jizz,Butthole
,,
Chocolate,Vanilla,Carmel
Chocolate,Vanilla,Carmel
oreo,vanilla,chocolate
bacon,butterscotch,pomegranate 
Chocolate,Salt ,Lemon
Lemon,Strawberry,Apple
Chocolate,Curry,Marinara
Vanilla,Wintergreen,Ginger
Lemon,Strawberry,Peppermint
Butterscotch,Pesto,Bacon
Strawberry,Chocolate,Caramel
Cinnamon,Coffee,Basil
salt,sweet,tart
Vanilla,Mint,Strawberry
salty ,sweet ,spicy
coffee,lemon ,cinnamon
Savory Beef Jerky,Fresh Baked Banana Bread,The smell of napalm in the morning. (is that a flavor)
Orange Chicken,Hamburgers,Sushi
Cherry,Peanut Butter,Chicken
Vinegar,Salt,Coffee
strawberry,chocolate,vanilla
Bacon,Cake Batter,Vanilla
saucy,chocolate,coffee
Mango,Chocolate,Green Tea
Caramel,Cheese,White Chocolate
Kiwi,Starfruit ,Peanut Butter 
pizza,"""three cheers for five years""",cheese
strawberry,banana,watermelon
spicey,tangy,savoury 
Garlic,Chocolate,Hazelnut
Chocolate,Broccoli,Strawberry
sea salt and vinegar,bbq,root beer
chili,pepper,spicy
Meat,Potato Chip,Chocolate
Strawberry,Chocolate ,Carmel
,,
,,
,,
Beer,Sunshine,Love
Orange,Blue,Spicy
Chocolate,Raspberry,
Coffee,Rain,Salt
sea water ,iron,gingersnaps 
lemon,vanilla,chocolate
peppermint,Strawberry,marshmallow
vanilla,raspberry,caramel
Chocolate,Carmel,Crab
Spicy,Savory,Smoky
roasted green chile,very sharp cheddar,buttery garlic
Banana,Watermelon,Raspberry
chocolate,cookie dough,berry
Hot sauce ,Banana,Grape
Chocolate,Kimchi ,Mango
Sriracha,Regret,Nitrous Oxide
Chocolate,Peppermint,Raspberry
Green Apple,Watermelon,Strawberry
Red,Blue,Brown
lemon drop,butterscotch ,mint
chocolate ,pizza flavor,hot sauce flavor
,,
mango,salmon,watermelon 
Beer,Pizza,Milk
,,
tobacco,jameson,my bae's mouth
Chocolate,Hops,Cheese
raspberry,chocolate,gin and tonic with ice and a twist of lemon
pumpkin,caramel,chocolate
,,
Bitter,Astringent,Sweet
yacon,orange,pants
,,
Wild Cherry Pepsi,PotoatoEs,Nacho Cheese
Lemon,Pineapple,Victory
Cinnamon,Carmel,basal
Cinnamon,Carmel,basal
,,
Lavender,Salmon,Hopps
Buttered popcorn,Vanilla ,Sweet and salty
Buttered popcorn,Vanilla ,Sweet and salty
sour apple,peanut sauce,
root beer,sour apple,peanut sauce
strawberry,butterscotch,that pain when you eat an entire bag of skittles and your spit hurts
Butane Hash Oil,Cocaine,Tejava Tea
Cinnamon ,watermelon ,ground beef 
Vanilla,Mint,Lemon
Avocado,Smoked bacon,Mangosteen
Kalamata Olives,Espresso over ice,PBR
,,
Pizza,Bacon,Ham
Rocky Road,Vanilla Lace,Mint
Garlic,Bacon,Carrot
Pomegranate,Blackberry,Vanillia 
Pomegranate,BlackBerry,Vanilla
Bacon,Pizza,Clam chowder
Vanilla,Garlic ,Mint 
Butterscotch ,Cream cheese,Rasberry
Okra steamed with tomatoes,Qudoba queso,Ketchup 
Okra steamed with tomatoes,Qudoba queso,Ketchup 
Chocolate,Coffee,Rasberry
Burnt marshmallows ,Mint,Oranges
Peach,Pear,Mint
soccer ,video games,cartoons
,,
Grapefruit,Chocolate ,Water
chocolate,blueberry,strawberry
Lemon-Lime,Cherry,Mojito 
Mint,garlic,the 23 flavors of Dr Pepper
Diet Coke ,Sour Candy,Instagram 
Coffee,Coconut,Cinnamon
Banana,Non-chlorinated water,Spoilers on a car
Tears of enemies ,Maple,"In 1904, the Vikings switched the names of ""Greenland"" and ""Iceland"" to trick Hitler. "
Gun Powder,Tears of enemies,Maple
Strawberry,Jalapano,Cheese
Savory,Bitter,Sour
Peanut Butter,Chocolate,Cherry
vanilla,lime,orange
Lavender,Pumpkin,Coconut
Bubble Gum ,Mint Chip ,Rocky Road
Cheddar,Salt,Garlic
Cherry,Watermelon,Strawberry
Pineapple,Watermelon,Raspberry
Coconut,Zucchini,Coffee w/creamer
 chocolate,coffee,coconut
Nutty,Cherry,Galliformes 
Banana,Chocolate,Guava
Strawberry ,Banana ,Cherry 
Chocolate,Fruit Punch,Garlic
Meat,Chocolate ,Sour cream and onion
Carrot Cake,Chocolate ,Citrus 
Sweet,Salty,Umami
Vanilla,Pumpkin,Cucumber
Sweet,Yum bowl,
,,
flowery,spicy,herbal
Chocolate,Banana,Pumpkin
chocolate,teriyaki,barbecue 
Vanilla,Strawberry,Lemon
vanilla,strawberry,mango
Raspberry,Lemon lime,Strawberry
Chocolate,Watermelon,Lemon
Mint,BBQ,vanilla
chocolate,salty,pineapple
Mint,chocolate,Lemon / lime 
chocolate,banana,watermelon
Corned Beef Hash,Steamed Shrimp,Caramel
Corned Beef Hash,Steamed Shrimp,Caramel
Spice (heat),Savory,Sweet
Cookie Dough,Oreo ,Vanilla 
Cookie Dough,Oreo ,Vanilla 
Liverwurst,Burdock,Plum
Vanilla,Alfredo,Tropical
Mango,Strawberry,Coconut
Chocolate ,Syrah ,Apple
pineapple,cherry,lemon
Chocolate ,Peanut butter,Mint 
caramel,butterscotch,vanilla
coconut,strawberry,mango
Caramel,Chocolate ,I barrel race horses. 
Lemon,Grapefruit ,Grape
chocolate,cookie dough,raspberry
Curry,Cilantro ,Chocolate
Chocolate,Chocolate,Chocolate
Lime,Pomegranite,Grapefruit
Mint chocolate,Grape,Bbq
sweet,banana ,sugar
sweet,banana ,sugar
sweet,banana ,sugar
Watermelon,Blackberry,Banana 
Grape,Lime,Cherry
Mint Chocolate Chip,Savory ,Chocolate 
Dark chocolate ,Chai,Mango
Chocolate (milk),Coffee,Raspberry
strawberry,sour cream and onion,mint
dark chocolate,salt and vinigar,cherry
Strawberry,Vanilla,Barbeque Sauce
sunflower seeds,Tabasco ,sweetness
Peanut Butter,Sea Salt and Vinager,Chocolate
Blue Raspberry ,Orange,Green Apple
Bananas foster,Pumpkin spice latte,Chocolate covered strawberries
Chocolate,raspberry,lemon
Peanut Butter,Cherry,Vanilla
Chocolate ,Huckleberry ,Raspberry
Meat,Pastry,Disease
poGYCfUTenMvxFgpoEu,SMULHOIoCHHk,nsbHsoFXQrZvTBbvSzy
,,
,,
Meat,Pork,Chicken
,,
Chocolate,Vanilla,Mint
Chocolate,Cola,Spicy Chicken
Cherry,Lime,Garlic
Blue raspberry,Salt,Milk chocolate
Chocolate,Mint Chocolate Chip,Coffee
Garlic,Chocolate,salty
Chocolate,Sour,Beer
Chocolate,Mint,Cookie Dough
White Chocolate ,Chocolate,Vanilla
Chocolate,Lavender,Raspberry
Vanilla,Chocolate,Raspberry 
,,
Sweet and Spicy,Strawberry,Coffee
Sweet and Spicy,Strawberry,Coffee
Ranch,Vanilla,Chicken
Umami,Salty,Spicy
chocolate,vanilla,peanut butter
Chocolate,Lavender,Raspberry
Cookie Dough,Cheddar Cheese,Cherry-Lime
,,
Hot sauce,Green chile,Salted caramel
Vanilla,Lemon,Chocolate
Glutamic Acid,Salt,Chocolate 
Honey,Lemon,Boeuf
Peanut butter,Maple,
Tears of my enemies,Victory ,Freedom
Absinthe,Chai,Cardamom 
Strawberry,Peppermint,Green tea
Garden salsa,Strawberry,Butterscotch
Strawberry,Caramel,Peppermint
Braunshweiger,,
ðŸº,ðŸ«,â˜•ï¸
Peach,Cajun,Orange
Vanilla ,caramel ,toffee nut 
Strawberry,Vanilla ,Mint
Dr. Pepper,Hot Cheetos,steak
,,
Coffee,Steak,Raspberry
,,
Lychee Berry,Bacon,Raspberry
,,
Mint,Orange,Pumpkin Spice
Cilantro,Aged Cheddar,Strawberry Banana
Lavender ,Mint Oreo,Cookie Dough
Chocolate,Smores,Orange Chicken
,,
,,
Cherry,Umami,Rose
Garlic,Cheese,Carls Jr
Chocolate,Smores,Orange Chicken
Mint,Peach,Garlic
blueberries,garlic,lilikoi
Spicy,Mint,chocolately
Sweet,Sour,Blue
Habanero,Teriyaki,Pineapple
mint chip ,garlic ,sherbert 
Cinnamon,Dark Coffee,Raspberry
Matcha ,Mint,Mango
Mango,Matcha,Mint
Mint Chocolate Chip,Breakfast Sandwich,Hawaiian Food in Hawaii
Lemon,Vanilla,Salmon
pina coloda ,wood,cheese
strawberry,truffle oil,cola
Breakfast ,Peanut Butter,Chocolate
umami,chocolate,the sweetened milk at the bottom of a cereal bowl
Mint,Chocolate,Peanut Butter
umami,chocolate,the sweetened milk at the bottom of a cereal bowl
Vanilla,Strawberry,Coffee
Napalm,CLP,Blood
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Vanilla ,Toffee nut,Hazelnut 
Strawberry ,Elk,Mango
Caramel ,Chocolate,Strawberry 
Propane,Diesel ,Barbecue 
Cherry,Mint,Cheese
Ice cream,Cookies,Beer
Chocolate,Marinated Tri tip ,Savory
Green apple,Chocolate,Cherry
Mint,Chocolate,Orange
Boyfriend sweat ,Chocolate ,
Sour,Sweet,Yes
bears,beets,battlestar gallactica
Sweet,Sour,Cinnamon Rolls
green jolly rancher,slim jim,port barrel aged scotch
chocolate,peanut butter,coffee
vanilla,caramel,smoke
cherry,lemon,BBQ
Lime,Nutella,Mint leaves
Raspberries,salt,lime
,,
Dark Chocolate,Fiji water,Cleopatra lived closer in time to the invention of the iPhone then she did to the building of the pyramids. 
Popcorn ,Fiji water,Dark Chocolate 
Popcorn ,Fiji water,Dark Chocolate 
Vanilla,Lemon,Raspberry
Beef,Apple,Chocolate
Rasberry,Strawberry,Peach
Garlic,White cheddar cheese,Pesto
Watermelon,Crown Royal Honey,Black licorice 
Lavender,Lemon/lime,Barbecue 
Pistachio,Strawberry,Mint
Chocolate,Strawberry,Vanilla
Blue raspberry,Strawberry,Watermelon
lemon,strawberry,chocolate
Vanilla,Cinnamon,Raspberry 
Strawberry ,Hummus,Pumpkin
Sam,Brandon,"Chris ""chubbz"""
,,
Blueberry ,Coffee,Dark chocolate 
Cheesy,Peanut butter,Garlic
Coffee,Mint,Mango peach 
Strawberry,Broccoli Cheese Soup,Grilled Peaches
Garlic,White cheddar cheese,Pesto
Cereal,Chocolate chip cookies,Ice cream
Spicy,Salty,Floral
Spicy,Salty,Floral
Spicy,Salty,Floral
nutty,sour,tart
Matcha,Cardamom ,Black licorice 
Sea salt ,Iron,Onion
Garlic,Lemon,Cream cheese frosting
Vanilla,Carmel,Butterscotch
Savory,Salty,Bacon
cheese,the blood of the innocent,pineapple on pizza
Sorrow,Firstborn Souls,Is death an old friend or a beast who has won the chase
Pretzels,Defeat,Napalm in the morning
Comedy,Blue,Mac & Cheese
Chocolate ,Cinnamon ,Caramel
Chocolate,Sarcasm,Guava
Chocolate,Sarcasm,Guava
Lemon,Custard,Seaweed
bears,beets,battlestar gallactica
Blueberry,Pumpkin,Squash
Wintergreen,Milk,Marinara