rowid,SOURCE,TARGET,VALUE,fruit,meat,veggie
1,Sriracha,Buffalo,Steak,0,0,0
2,Raspberry,Sirloin,Coffee,1,0,0
3,Raspberry,Soy,Milk,1,0,0
4,Bacon,Strawberries,Blueberries,0,1,0
5,Chocolate,Coffee,Peanut,0,0,0
6,Balsamic,Avacado,Burnt,0,0,0
7,Dark,Coca-Cola,Milk,0,0,0
8,Iron,Gingersnaps,Sea,0,0,0
9,Garlic,Aged,Caramel,0,0,0
10,Garlic,Sriracha,Soy,0,0,0
11,Honey,Proscuitto,Vinegar,0,0,0
12,Vanilla,Butter,Onion,0,0,0
13,Mint,Chocolate,Green,0,0,0
14,Marinara,Beef,Pumpkin,0,0,0
15,Butter,Salt,Flour,0,0,0
16,Blackberry,Chocolate,Bacon,1,0,0
17,Chocolate,Root,Toffee,0,0,0
18,Coffee,Chocolate,Marijuana,0,0,0
19,Mushroom,Shallot,Tarragon,0,0,0
20,Rasberry,Curry,Ginger,0,0,0
21,Vanilla,Scallop,Chocolate,0,0,0
22,Coffee,Red,Cheescake,0,0,0
23,Vanilla,Chocolate,Double,0,0,0
24,Cheese,Caramel,Coffee,0,0,0
25,Onion,Peanut,Lemon,0,0,1
26,Coffee,Peanut,Chocolate,0,0,0
27,Water,Smoke,Chocolate,0,0,0
28,Lemonade,Peanut,Cola,0,0,0
29,Sweet,Apple,Caramel,0,0,0
30,Parmesan,Artichoke,Xhickrn,0,0,0
31,Peppermint,Coffee,Strawberry,0,0,0
32,Curry,Squash,Cayenne,0,0,0
33,Banana,Jalapeño,Vanilla,1,0,0
34,Raspberry,Chocolate,Gary,1,0,0
35,Milk,Milk,Dom,0,0,0
36,Sugar,Fat,Salt,0,0,0
37,Wintergreen,Purple,Orange,0,0,0
38,Mango,Popcorn,Strawberry,1,0,0
39,Dark,Salt,Seared,0,0,0
40,Vanilla,Raspberry,Grapefruit,0,0,0
41,Salt-Y,Lime,Coffee,0,0,0
42,Orange,Tangy,Sweet,1,0,0
43,Raspberry,Curry,Shrimp,1,0,0
44,Mango,Malt,Mustard,1,0,0
45,Chai,Meyer,Bacon,0,0,0
46,Blueberry,Watermelon,Wintergreen,1,0,0
47,Chai,Tuna,Teriyaki,0,0,0
48,Steak,Chocolate,Butter,0,0,0
49,Vanilla,Hot,Chocolate,0,0,0
50,Chocolate,Coconut,Pomegranate,0,0,0
51,Caramel,Bacon,Buffalo,0,0,0
52,Garlic,Chocolate,Blood,0,0,0
53,Pork,Spicy,Fishy,0,1,0
54,Chocolate,Wood,Salty,0,0,0
55,White,Strawberry,Chocolate,0,0,0
56,Coffee,Vanilla,Almond,0,0,0
57,Watermelon,Strawberry,Bbq,1,0,0
58,Chocolate,Deep,Burnt,0,0,0
59,Sorgum,Lemongrass,Chicory,0,0,0
60,Pepsi,Bbq,Watermelon,0,0,0
61,Cajun,Hickory,Smoky,0,0,0
62,Sour,Lemon,Curry,0,0,0
63,Chocolate,Strawberry,Minister,0,0,0
64,Blue,Celery,Cherry,0,0,0
65,Chocolate,Peanut,Maple,0,0,0
66,Curry,Coffee,Dark,0,0,0
67,Vanilla,Cinnamon,Lemon,0,0,0
68,Blue,Green,Bacon,0,0,0
69,Butter,Dough,Cream,0,0,0
70,Lime,Mushroom,Caramel,1,0,0
71,Lavender,Sarsparilla,Wasabi,0,0,0
72,Roast,Lemon,Honey,0,0,0
73,Chocolate,Vanilla,Banana,0,0,0
74,Beef,Coffee,Peanuts,0,1,0
75,Chocolate,Dragon,Blue,0,0,0
76,Coffee,Chocolate,Strawberry,0,0,0
77,Marionberry,Coffee,Grape,0,0,0
78,Apple,Watermelon,Chocolate,1,0,0
79,Caramel,Pumpkin,Dark,0,0,0
80,Caramel,Pumpkin,Dark,0,0,0
81,Cherry,Cookie,Orange,1,0,0
82,Coffee,Green,Dark,0,0,0
83,Carmel,Rootbeer,Chocloate,0,0,0
84,Coffee,Chocolate,Vanilla,0,0,0
85,White,Raspberry,Passion,0,0,0
86,Chocolate,Cheery,Blackberry,0,0,0
87,Pistachio,Hay,Peach,0,0,0
88,Caramel,Strawberry,Pineapple,0,0,0
89,Mint,Chocolate,Vanilla,0,0,0
90,Peanut,Chocolate,Cheesecake,0,0,0
91,Jamoca,Chocolate,Cheesecake,0,0,0
92,Peanut,Bacon,Honeydew,0,0,0
93,Green,Pumpkin,Humans,0,0,0
94,Dissonance,Pestilence,Mango,0,0,0
95,Boston,Lemon,Cake,0,0,0
96,Fried,Potato,Bbq,0,0,0
97,Milkshake,Vodka,Cheese,0,0,0
98,Chocolate,Steak,Alfredo,0,0,0
99,Strawberry,Cheesy,Creamy,1,0,0
100,Caramel,Lime,Strawberry,0,0,0
101,Cake,Cookie,Pralines,0,0,0
102,Jalapeño,Bacon,Chocolate,1,0,0
103,Chocolate,Lemon,Orange,0,0,0
104,Mint,Spicy,Grilled,0,0,0
105,Coffee,Maple,Green,0,0,0
106,Salty,Musky,Pudding,0,0,0
107,Cinnamon,Vanilla,Chocolate,0,0,0
108,Rootbeer,Victory,Cheese,0,0,0
109,Justice,Retribution,Spaghetti,0,0,0
110,Banana,Chocolate,Vanilla,1,0,0
111,Peanut,Ginger,Hops,0,0,0
112,Spicy,Vinegar,Lime,0,0,0
113,Chocolate,Peanut,Coffee,0,0,0
114,"Salty,",Sour,Spicey,0,0,0
115,Cinnamon,Sharp,Chocolate,0,0,0
116,Pussy,Ipa,Steak,0,0,0
117,Vanilla,Lemon,Cherry,0,0,0
118,Cock,Jizz,Butthole,0,0,0
119,Chocolate,Vanilla,Carmel,0,0,0
120,Chocolate,Vanilla,Carmel,0,0,0
121,Oreo,Vanilla,Chocolate,0,0,0
122,Bacon,Butterscotch,Pomegranate,0,1,0
123,Chocolate,Salt,Lemon,0,0,0
124,Lemon,Strawberry,Apple,0,0,0
125,Chocolate,Curry,Marinara,0,0,0
126,Vanilla,Wintergreen,Ginger,0,0,0
127,Lemon,Strawberry,Peppermint,0,0,0
128,Butterscotch,Pesto,Bacon,0,0,0
129,Strawberry,Chocolate,Caramel,1,0,0
130,Cinnamon,Coffee,Basil,0,0,0
131,Salt,Sweet,Tart,0,0,0
132,Vanilla,Mint,Strawberry,0,0,0
133,Salty,Sweet,Spicy,0,0,0
134,Coffee,Lemon,Cinnamon,0,0,0
135,Savory,Fresh,The,0,0,0
136,Orange,Hamburgers,Sushi,1,0,0
137,Cherry,Peanut,Chicken,1,0,0
138,Vinegar,Salt,Coffee,0,0,0
139,Strawberry,Chocolate,Vanilla,1,0,0
140,Bacon,Cake,Vanilla,0,1,0
141,Saucy,Chocolate,Coffee,0,0,0
142,Mango,Chocolate,Green,1,0,0
143,Caramel,Cheese,White,0,0,0
144,Kiwi,Starfruit,Peanut,0,0,0
145,Pizza,"""Three",Cheese,0,0,0
146,Strawberry,Banana,Watermelon,1,0,0
147,Spicey,Tangy,Savoury,0,0,0
148,Garlic,Chocolate,Hazelnut,0,0,0
149,Chocolate,Broccoli,Strawberry,0,0,0
150,Sea,Bbq,Root,0,0,0
151,Chili,Pepper,Spicy,0,0,0
152,Meat,Potato,Chocolate,0,0,0
153,Strawberry,Chocolate,Carmel,1,0,0
154,Beer,Sunshine,Love,0,0,0
155,Orange,Blue,Spicy,1,0,0
156,Coffee,Rain,Salt,0,0,0
157,Sea,Iron,Gingersnaps,0,0,0
158,Lemon,Vanilla,Chocolate,0,0,0
159,Peppermint,Strawberry,Marshmallow,0,0,0
160,Vanilla,Raspberry,Caramel,0,0,0
161,Chocolate,Carmel,Crab,0,0,0
162,Spicy,Savory,Smoky,0,0,0
163,Roasted,Very,Buttery,0,0,0
164,Banana,Watermelon,Raspberry,1,0,0
165,Chocolate,Cookie,Berry,0,0,0
166,Hot,Banana,Grape,0,0,0
167,Chocolate,Kimchi,Mango,0,0,0
168,Sriracha,Regret,Nitrous,0,0,0
169,Chocolate,Peppermint,Raspberry,0,0,0
170,Green,Watermelon,Strawberry,0,0,0
171,Red,Blue,Brown,0,0,0
172,Lemon,Butterscotch,Mint,0,0,0
173,Chocolate,Pizza,Hot,0,0,0
174,Mango,Salmon,Watermelon,1,0,0
175,Beer,Pizza,Milk,0,0,0
176,Tobacco,Jameson,My,0,0,0
177,Chocolate,Hops,Cheese,0,0,0
178,Raspberry,Chocolate,Gin,1,0,0
179,Pumpkin,Caramel,Chocolate,1,0,0
180,Bitter,Astringent,Sweet,0,0,0
181,Yacon,Orange,Pants,0,0,0
182,Wild,Potoatoes,Nacho,0,0,0
183,Lemon,Pineapple,Victory,0,0,0
184,Cinnamon,Carmel,Basal,0,0,0
185,Cinnamon,Carmel,Basal,0,0,0
186,Lavender,Salmon,Hopps,0,0,0
187,Buttered,Vanilla,Sweet,0,0,0
188,Buttered,Vanilla,Sweet,0,0,0
189,Root,Sour,Peanut,0,0,0
190,Strawberry,Butterscotch,That,1,0,0
191,Butane,Cocaine,Tejava,0,0,0
192,Cinnamon,Watermelon,Ground,0,0,0
193,Vanilla,Mint,Lemon,0,0,0
194,Avocado,Smoked,Mangosteen,0,0,0
195,Kalamata,Espresso,Pbr,0,0,0
196,Pizza,Bacon,Ham,0,0,0
197,Rocky,Vanilla,Mint,0,0,0
198,Garlic,Bacon,Carrot,0,0,0
199,Pomegranate,Blackberry,Vanillia,1,0,0
200,Pomegranate,Blackberry,Vanilla,1,0,0
201,Bacon,Pizza,Clam,0,1,0
202,Vanilla,Garlic,Mint,0,0,0
203,Butterscotch,Cream,Rasberry,0,0,0
204,Okra,Qudoba,Ketchup,0,0,0
205,Okra,Qudoba,Ketchup,0,0,0
206,Chocolate,Coffee,Rasberry,0,0,0
207,Burnt,Mint,Oranges,0,0,0
208,Peach,Pear,Mint,1,0,0
209,Soccer,Video,Cartoons,0,0,0
210,Grapefruit,Chocolate,Water,1,0,0
211,Chocolate,Blueberry,Strawberry,0,0,0
212,Lemon-Lime,Cherry,Mojito,1,0,0
213,Mint,Garlic,The,0,0,0
214,Diet,Sour,Instagram,0,0,0
215,Coffee,Coconut,Cinnamon,0,0,0
216,Banana,Non-Chlorinated,Spoilers,1,0,0
217,Tears,Maple,In,0,0,0
218,Gun,Tears,Maple,0,0,0
219,Strawberry,Jalapeño,Cheese,1,0,0
220,Savory,Bitter,Sour,0,0,0
221,Peanut,Chocolate,Cherry,0,0,0
222,Vanilla,Lime,Orange,0,0,0
223,Lavender,Pumpkin,Coconut,0,0,0
224,Bubble,Mint,Rocky,0,0,0
225,Cheddar,Salt,Garlic,0,0,0
226,Cherry,Watermelon,Strawberry,1,0,0
227,Pineapple,Watermelon,Raspberry,1,0,0
228,Coconut,Zucchini,Coffee,0,0,0
229,Chocolate,Coffee,Coconut,0,0,0
230,Nutty,Cherry,Galliformes,0,0,0
231,Banana,Chocolate,Guava,1,0,0
232,Strawberry,Banana,Cherry,1,0,0
233,Chocolate,Fruit,Garlic,0,0,0
234,Meat,Chocolate,Sour,0,0,0
235,Carrot,Chocolate,Citrus,0,0,0
236,Sweet,Salty,Umami,0,0,0
237,Vanilla,Pumpkin,Cucumber,0,0,0
238,Flowery,Spicy,Herbal,0,0,0
239,Chocolate,Banana,Pumpkin,0,0,0
240,Chocolate,Teriyaki,Barbecue,0,0,0
241,Vanilla,Strawberry,Lemon,0,0,0
242,Vanilla,Strawberry,Mango,0,0,0
243,Raspberry,Lemon,Strawberry,1,0,0
244,Chocolate,Watermelon,Lemon,0,0,0
245,Mint,Bbq,Vanilla,0,0,0
246,Chocolate,Salty,Pineapple,0,0,0
247,Mint,Chocolate,Lemon,0,0,0
248,Chocolate,Banana,Watermelon,0,0,0
249,Corned,Steamed,Caramel,0,0,0
250,Corned,Steamed,Caramel,0,0,0
251,Spice,Savory,Sweet,0,0,0
252,Cookie,Oreo,Vanilla,0,0,0
253,Cookie,Oreo,Vanilla,0,0,0
254,Liverwurst,Burdock,Plum,0,0,0
255,Vanilla,Alfredo,Tropical,0,0,0
256,Mango,Strawberry,Coconut,1,0,0
257,Chocolate,Syrah,Apple,0,0,0
258,Pineapple,Cherry,Lemon,1,0,0
259,Chocolate,Peanut,Mint,0,0,0
260,Caramel,Butterscotch,Vanilla,0,0,0
261,Coconut,Strawberry,Mango,0,0,0
262,Caramel,Chocolate,I,0,0,0
263,Lemon,Grapefruit,Grape,0,0,0
264,Chocolate,Cookie,Raspberry,0,0,0
265,Curry,Cilantro,Chocolate,0,0,0
266,Chocolate,Chocolate,Chocolate,0,0,0
267,Lime,Pomegranite,Grapefruit,1,0,0
268,Mint,Grape,Bbq,0,0,0
269,Sweet,Banana,Sugar,0,0,0
270,Sweet,Banana,Sugar,0,0,0
271,Sweet,Banana,Sugar,0,0,0
272,Watermelon,Blackberry,Banana,1,0,0
273,Grape,Lime,Cherry,1,0,0
274,Mint,Savory,Chocolate,0,0,0
275,Dark,Chai,Mango,0,0,0
276,Chocolate,Coffee,Raspberry,0,0,0
277,Strawberry,Sour,Mint,1,0,0
278,Dark,Salt,Cherry,0,0,0
279,Strawberry,Vanilla,Barbeque,1,0,0
280,Sunflower,Tabasco,Sweetness,0,0,0
281,Peanut,Sea,Chocolate,0,0,0
282,Blue,Orange,Green,0,0,0
283,Bananas,Pumpkin,Chocolate,1,0,0
284,Chocolate,Raspberry,Lemon,0,0,0
285,Peanut,Cherry,Vanilla,0,0,0
286,Chocolate,Huckleberry,Raspberry,0,0,0
287,Meat,Pastry,Disease,0,0,0
288,Pogycfutenmvxfgpoeu,Smulhoiochhk,Nsbhsofxqrzvtbbvszy,0,0,0
289,Meat,Pork,Chicken,0,0,0
290,Chocolate,Vanilla,Mint,0,0,0
291,Chocolate,Cola,Spicy,0,0,0
292,Cherry,Lime,Garlic,1,0,0
293,Blue,Salt,Milk,0,0,0
294,Chocolate,Mint,Coffee,0,0,0
295,Garlic,Chocolate,Salty,0,0,0
296,Chocolate,Sour,Beer,0,0,0
297,Chocolate,Mint,Cookie,0,0,0
298,White,Chocolate,Vanilla,0,0,0
299,Chocolate,Lavender,Raspberry,0,0,0
300,Vanilla,Chocolate,Raspberry,0,0,0
301,Sweet,Strawberry,Coffee,0,0,0
302,Sweet,Strawberry,Coffee,0,0,0
303,Ranch,Vanilla,Chicken,0,0,0
304,Umami,Salty,Spicy,0,0,0
305,Chocolate,Vanilla,Peanut,0,0,0
306,Chocolate,Lavender,Raspberry,0,0,0
307,Cookie,Cheddar,Cherry-Lime,0,0,0
308,Hot,Green,Salted,0,0,0
309,Vanilla,Lemon,Chocolate,0,0,0
310,Glutamic,Salt,Chocolate,0,0,0
311,Honey,Lemon,Boeuf,0,0,0
312,Tears,Victory,Freedom,0,0,0
313,Absinthe,Chai,Cardamom,0,0,0
314,Strawberry,Peppermint,Green,1,0,0
315,Garden,Strawberry,Butterscotch,0,0,0
316,Strawberry,Caramel,Peppermint,1,0,0
317,Ðÿº,Ðÿ«,Â˜•Ï¸,0,0,0
318,Peach,Cajun,Orange,1,0,0
319,Vanilla,Caramel,Toffee,0,0,0
320,Strawberry,Vanilla,Mint,1,0,0
321,Dr.,Hot,Steak,0,0,0
322,Coffee,Steak,Raspberry,0,0,0
323,Lychee,Bacon,Raspberry,0,0,0
324,Mint,Orange,Pumpkin,0,0,0
325,Cilantro,Aged,Strawberry,0,0,1
326,Lavender,Mint,Cookie,0,0,0
327,Chocolate,Smores,Orange,0,0,0
328,Cherry,Umami,Rose,1,0,0
329,Garlic,Cheese,Carls,0,0,0
330,Chocolate,Smores,Orange,0,0,0
331,Mint,Peach,Garlic,0,0,0
332,Blueberries,Garlic,Lilikoi,0,0,0
333,Spicy,Mint,Chocolately,0,0,0
334,Sweet,Sour,Blue,0,0,0
335,Habanero,Teriyaki,Pineapple,1,0,0
336,Mint,Garlic,Sherbert,0,0,0
337,Cinnamon,Dark,Raspberry,0,0,0
338,Matcha,Mint,Mango,0,0,0
339,Mango,Matcha,Mint,1,0,0
340,Mint,Breakfast,Hawaiian,0,0,0
341,Lemon,Vanilla,Salmon,0,0,0
342,Pina,Wood,Cheese,0,0,0
343,Strawberry,Truffle,Cola,1,0,0
344,Breakfast,Peanut,Chocolate,0,0,0
345,Umami,Chocolate,The,0,0,0
346,Mint,Chocolate,Peanut,0,0,0
347,Umami,Chocolate,The,0,0,0
348,Vanilla,Strawberry,Coffee,0,0,0
349,Napalm,Clp,Blood,0,0,0
350,Vanilla,Toffee,Hazelnut,0,0,0
351,Strawberry,Elk,Mango,1,0,0
352,Caramel,Chocolate,Strawberry,0,0,0
353,Propane,Diesel,Barbecue,0,0,0
354,Cherry,Mint,Cheese,1,0,0
355,Ice,Cookies,Beer,0,0,0
356,Chocolate,Marinated,Savory,0,0,0
357,Green,Chocolate,Cherry,0,0,0
358,Mint,Chocolate,Orange,0,0,0
359,Sour,Sweet,Yes,0,0,0
360,Bears,Beets,Battlestar,0,0,0
361,Sweet,Sour,Cinnamon,0,0,0
362,Green,Slim,Port,0,0,0
363,Chocolate,Peanut,Coffee,0,0,0
364,Vanilla,Caramel,Smoke,0,0,0
365,Cherry,Lemon,Bbq,1,0,0
366,Lime,Nutella,Mint,1,0,0
367,Raspberries,Salt,Lime,0,0,0
368,Dark,Fiji,Cleopatra,0,0,0
369,Popcorn,Fiji,Dark,0,0,0
370,Popcorn,Fiji,Dark,0,0,0
371,Vanilla,Lemon,Raspberry,0,0,0
372,Beef,Apple,Chocolate,0,1,0
373,Rasberry,Strawberry,Peach,0,0,0
374,Garlic,White,Pesto,0,0,0
375,Watermelon,Crown,Black,1,0,0
376,Lavender,Lemon/Lime,Barbecue,0,0,0
377,Pistachio,Strawberry,Mint,0,0,0
378,Chocolate,Strawberry,Vanilla,0,0,0
379,Blue,Strawberry,Watermelon,0,0,0
380,Lemon,Strawberry,Chocolate,0,0,0
381,Vanilla,Cinnamon,Raspberry,0,0,0
382,Strawberry,Hummus,Pumpkin,1,0,0
383,Sam,Brandon,Chris,0,0,0
384,Blueberry,Coffee,Dark,1,0,0
385,Cheesy,Peanut,Garlic,0,0,0
386,Coffee,Mint,Mango,0,0,0
387,Strawberry,Broccoli,Grilled,1,0,0
388,Garlic,White,Pesto,0,0,0
389,Cereal,Chocolate,Ice,0,0,0
390,Spicy,Salty,Floral,0,0,0
391,Spicy,Salty,Floral,0,0,0
392,Spicy,Salty,Floral,0,0,0
393,Nutty,Sour,Tart,0,0,0
394,Matcha,Cardamom,Black,0,0,0
395,Sea,Iron,Onion,0,0,0
396,Garlic,Lemon,Cream,0,0,0
397,Vanilla,Carmel,Butterscotch,0,0,0
398,Savory,Salty,Bacon,0,0,0
399,Cheese,The,Pineapple,0,0,0
400,Sorrow,Firstborn,Is,0,0,0
401,Pretzels,Defeat,Napalm,0,0,0
402,Comedy,Blue,Mac,0,0,0
403,Chocolate,Cinnamon,Caramel,0,0,0
404,Chocolate,Sarcasm,Guava,0,0,0
405,Chocolate,Sarcasm,Guava,0,0,0
406,Lemon,Custard,Seaweed,0,0,0
407,Bears,Beets,Battlestar,0,0,0
408,Blueberry,Pumpkin,Squash,1,0,0
409,Wintergreen,Milk,Marinara,0,0,0
